1,,494630.153000,4038533.910000,54.513000
2,,494632.300000,4038531.680000,54.035000
3,,494600.752000,4038440.473000,34.406000
4,,494595.416000,4038439.033000,34.162000
5,,494589.689000,4038437.745000,33.919000
6,,494583.642000,4038436.528000,33.383000
7,,494577.809000,4038435.328000,32.903000
8,,494576.466000,4038438.499000,35.098000
9,,494582.526000,4038439.590000,34.971000
10,,494587.663000,4038438.686000,34.493000
11,,494590.887000,4038440.999000,35.119000
12,,494594.660000,4038443.844000,35.946000
13,,494599.354000,4038444.630000,36.313000
14,,494599.387000,4038442.915000,35.880000
15,,494597.221000,4038447.027000,35.918000
16,,494593.219000,4038447.424000,35.818000
17,,494590.032000,4038446.140000,35.712000
18,,494585.439000,4038444.788000,35.133000
19,,494585.589000,4038448.405000,36.773000
20,,494588.598000,4038449.356000,36.574000
21,,494590.950000,4038451.613000,37.443000
22,,494593.718000,4038451.109000,37.455000
23,,494582.792000,4038446.127000,35.951000
24,,494579.051000,4038443.791000,35.018000
25,,494577.967000,4038446.417000,36.179000
26,,494575.407000,4038444.041000,34.903000
27,,494576.712000,4038441.952000,35.110000
28,,494573.982000,4038441.689000,34.672000
29,,494572.893000,4038438.552000,34.626000
30,,494570.407000,4038438.201000,34.809000
31,,494567.044000,4038437.729000,35.094000
32,,494562.712000,4038438.034000,35.635000
33,,494559.336000,4038437.213000,36.095000
34,,494555.753000,4038437.954000,36.862000
35,,494553.088000,4038439.960000,37.108000
36,,494548.631000,4038442.522000,37.682000
37,,494545.104000,4038445.178000,37.880000
38,,494543.357000,4038448.356000,38.842000
39,,494542.746000,4038451.379000,39.023000
40,,494539.146000,4038453.221000,39.763000
41,,494535.168000,4038454.669000,40.290000
42,,494531.591000,4038455.596000,40.150000
43,,494527.189000,4038459.635000,40.446000
44,,494523.702000,4038461.903000,40.950000
45,,494520.272000,4038464.706000,40.743000
46,,494516.149000,4038468.119000,40.979000
47,,494513.415000,4038471.420000,40.999000
48,,494510.501000,4038472.834000,40.893000
49,,494512.522000,4038474.128000,41.675000
50,,494504.929000,4038479.830000,40.944000
51,,494507.505000,4038481.077000,41.494000
52,,494506.516000,4038483.204000,41.994000
53,,494504.391000,4038485.298000,41.881000
54,,494502.101000,4038483.695000,40.689000
55,,494502.295000,4038487.219000,41.462000
56,,494499.578000,4038486.703000,40.366000
57,,494500.592000,4038491.129000,41.668000
58,,494500.488000,4038491.547000,41.827000
59,,494498.044000,4038490.578000,40.488000
60,,494498.311000,4038494.120000,41.059000
61,,494497.158000,4038497.183000,41.431000
62,,494494.696000,4038496.019000,40.545000
63,,494493.052000,4038499.697000,39.789000
64,,494490.788000,4038502.788000,39.744000
65,,494489.230000,4038506.971000,39.485000
66,,494488.451000,4038512.251000,39.908000
67,,494487.555000,4038516.459000,40.003000
68,,494486.746000,4038519.649000,40.080000
69,,494485.579000,4038524.986000,39.749000
70,,494485.937000,4038528.773000,39.719000
71,,494485.446000,4038534.075000,39.335000
72,,494484.615000,4038539.463000,40.056000
73,,494483.765000,4038544.000000,39.617000
74,,494482.835000,4038547.348000,39.667000
75,,494486.221000,4038546.756000,39.800000
76,,494488.731000,4038544.900000,40.408000
77,,494488.597000,4038541.065000,40.265000
78,,494487.799000,4038536.910000,40.383000
79,,494489.788000,4038534.242000,40.818000
80,,494493.023000,4038533.766000,42.015000
81,,494493.048000,4038535.125000,41.756000
82,,494491.363000,4038535.693000,41.831000
83,,494492.309000,4038536.258000,41.419000
84,,494491.064000,4038537.181000,41.956000
85,,494493.051000,4038538.040000,42.248000
86,,494494.027000,4038537.070000,42.081000
87,,494494.938000,4038538.383000,42.053000
88,,494492.335000,4038539.974000,41.207000
89,,494491.442000,4038539.397000,41.761000
90,,494491.945000,4038541.708000,41.793000
91,,494488.135000,4038546.661000,39.607000
92,,494483.272000,4038548.927000,38.884000
93,,494484.384000,4038550.239000,38.116000
94,,494481.289000,4038552.159000,37.752000
95,,494483.219000,4038551.850000,37.831000
96,,494480.955000,4038553.457000,37.181000
97,,494480.730000,4038555.228000,37.912000
98,,494479.773000,4038559.669000,36.512000
99,,494480.836000,4038558.152000,37.060000
100,,494485.412000,4038557.591000,37.211000
101,,494486.908000,4038557.279000,38.380000
102,,494486.737000,4038559.357000,37.360000
103,,494488.840000,4038557.584000,37.692000
104,,494488.795000,4038556.589000,37.656000
105,,494492.146000,4038555.685000,38.110000
106,,494496.561000,4038553.617000,39.111000
107,,494500.437000,4038551.305000,40.068000
108,,494501.712000,4038550.964000,40.147000
109,,494502.884000,4038553.886000,39.855000
110,,494501.965000,4038554.998000,40.042000
111,,494500.281000,4038555.138000,39.476000
112,,494499.817000,4038556.170000,39.620000
113,,494497.846000,4038557.978000,38.895000
114,,494495.782000,4038556.781000,38.699000
115,,494494.714000,4038557.052000,39.152000
116,,494493.624000,4038555.294000,38.457000
117,,494493.624000,4038555.294000,38.457000
118,,494492.654000,4038557.880000,38.210000
119,,494489.638000,4038560.837000,37.434000
120,,494491.751000,4038560.971000,37.715000
121,,494494.523000,4038559.790000,38.113000
122,,494497.606000,4038558.822000,38.473000
123,,494500.548000,4038557.854000,38.922000
124,,494503.388000,4038556.780000,39.352000
125,,494506.357000,4038555.866000,39.524000
126,,494508.953000,4038552.749000,39.804000
127,,494507.613000,4038551.588000,40.561000
128,,494509.935000,4038548.700000,40.230000
129,,494508.507000,4038547.821000,40.573000
130,,494507.553000,4038542.579000,41.100000
131,,494510.311000,4038540.601000,40.538000
132,,494509.249000,4038539.771000,41.090000
133,,494510.359000,4038538.401000,40.765000
